Index,Type,Text
11,A,"I just completed my first semester at SMU after transferring in last Fall. My initial desire was largely based around becoming a Software Engineer and studying Computer Science. However, as I began to dig further into the program in Lyle, the more I realized that this world is not something I have a strong desire to immerse myself in. However, along the way I discovered my aptitude of design and visualization were my true strengths.

The intersection of data, artificial intelligence and computing are widely affecting our daily lives. They impact almost every decision we make across the board and therefore the study of data is vital to the future of humanity. While the continued progression of artificial intelligence slides past our understanding as humans, we must put a strong emphasis on the ethics of what we are so willingly pouring our thoughts and emotions into.

Regardless of our opinion of how data should be stored and/or used for our ""benefit"" it shouldn't go unnoticed. Just simply by opening our phones and doing a mundane task of checking our email, we have given data points for companies to store. A more specific example may include taking a weekend trip to Austin and booking an AirBnb or hotel. These decisions are made and that data is immediately stored to continue building a profile of us for AirBnb/hotel (for the booking), Google (maps and search), Airlines (if ticket is needed for travel), Booking Site (if needed), Social Media (the first post made in a different city), and etc. Every little move we make as individuals is tracked and used for our benefit. The algorithms take all of this new data about our trip to Austin and begin to curate ads that seemingly fit our preferences based on recent activity.

This is simply how society currently operates and is seemingly unavoidable. As the never ending innovation of processing chips continues we will need to be more aware of these things. Not because of cynical behavior from other big companies and their human desires but more so with the thought of AI. We simply do not know how to control such an incredible piece of technology that has been trained to learn from every individual user. This data set will be larger than any other on record and giving AI that type of inherit power will eventually pose problems to humanity as a whole. The ethics must be quickly strangled in order to avoid losing control of a system with no bounds like AI."
12,A,"Data, the collection of information; artificial intelligence, the auto-generating programming; computing, the daily tasks done by a computer, intersect in our personal and professional spaces. In our everyday life, computing is done when we access information on our personal devices, which often involves searching and accessing a vast amount of data. For example, searching on Google gives access to quadrillions of internet links to the user, which the computing searches the data to present answers to any user query. Or in Google Maps, the mapping of a route takes algorithms that calculate the most optimal route in terms of time, and the computing in the algorithm analyzes the complicated database of maps to form the best routes for the user. Since Google has access to the number of users in a certain area, the company's algorithm, while mapping the best route to the destination to the users, directs their users to the roads with the least amount of traffic possible. Yet when all the queries are guided to that un-busy street, the street can get busy due to the Google algorithm. Then the algorithm will give the new queries another least-busy route that most customers would not otherwise expect. In this way, in computing and processing the vast amount of data, the algorithm silently directs traffic to fit the request of all customer queries, controlling the city traffic with secret hands.  With the help of Artificial Intelligence, however, access to the result of these computing tasks can be swift. With the help of natural language processing, GPT programs use AI to code custom programs tailored to the users' requests, making the random and personal computation requests faster than ever. AI and similar self-programming algorithms give great convenience to our everyday lives, such as it can help me write the conclusion to this homework: ""In conclusion, the intersection of data, artificial intelligence, and computing has become an integral part of our everyday lives, affecting everything from the way we search for information to how we navigate the world around us. The vast amounts of data that are collected and analyzed by algorithms are shaping the way we interact with technology, making our daily tasks more convenient and efficient. However, as with any technology, there are also potential downsides to consider, such as the unintended consequences of algorithms and the potential for data misuse. It is important for individuals and organizations to be aware of these risks and to take steps to ensure the responsible use of technology in our daily lives."" (chat.openai.com)"
13,A,"Data is everywhere. Even if we don't notice it. Our phones though are the most prevalent places we see data. The average American sees around 4000 to 10000 ads every single day, and it would not be far fetched to say that every single one of those ads uses data to target a specific audience. How do people target ads though? Through the use of data. Companies use data about their customers to target their ads towards them. That includes myself and everyone else who has ever bought anything. A company can use data on things like how old the average customer of their product is to discern what age group they should be targeting. With that knowledge, they can create ads that appear on tv channels watched by their target age demographic. Apps like TikTok get even more clever though. They use their gigantic user base to gather data on millions and millions of people. They can either sell that data to outside sources, or they can sell you. They do this by using their mass amounts of data to build a profile of each user and what they want to see or buy. By doing so, they can keep users on the app longer. This means that the user will see more ads, and those ad spaces have been bought by companies because TikTok can use their data to show the ads to people who are most likely to buy the company's product. That process happens all day every day and we never really notice it, and that is how data is used in ads. Large datasets can help train AIs. Most relevantly we can look at ChatGPT for that. ChatGPT uses huge datasets to train itself on how to accurately reply, talk, and more. That is how it has become so accurate. The way data alters how I do things is probably more than I even know, but just on the surface I am willing to take weird roads I've never seen before just because Google's algorithm told me so. I also spend way more time than I should watching TikTok because it is so good at keeping me entertained through their algorithm."
14,A,"In today’s day and age, data is one of the most powerful tools in existence. Every aspect of our lives is a potential data point. Everything from what we do on our phones to what kind of food we buy at the grocery store is a piece of data that companies are willing to pay a fortune to acquire. Companies like Amazon collect data on what each user looks at, searches for, and buys. They use this data to advertise future products to the users that they might be interested in purchasing. Leveraging user data for advertising is a tremendous business opportunity for large companies. Google made a staggering $279.8 billion U.S. dollars in 2022 from advertising alone. Artificial intelligence and machine learning is another way data is having a tremendous effect on our lives. Artificial intelligence is able to learn from the data that is collected from users, and then use this newfound knowledge to impact the world. Large language models are able to learn from questions posed by users and then provide fairly accurate responses. While artificial intelligence isn’t perfect, its drastic improvement in recent years shows its great potential. A survey from Ipsos in 2021 found that many of the adults surveyed thought that artificial intelligence would impact fields like education, shopping, employment, entertainment, and whole lot more. Even algorithms that aren’t as complex as machine learning programs affect our lives. Every new car nowadays comes with numerous algorithms that improve the driving experience by making it easier and more comfortable. Parking sense, lane change assist, and adaptive cruise control are all examples of ways computing impacts our lives. In a world in which data is everywhere, it is important to be able to identify connections between different data sets to discover useful insights and make critical decisions."
15,A,"I use computers and algorithms everyday of my life. I mainly use technology in my daily life to communicate with people and locate different places. Technology makes my life easier because it allows me to predict my activities for the day and manage time. My iPhone, however, also serves as a distraction because of the apps that I have downloaded and the algorithms they utilize to keep my attention. Youtube, for example, is a great tool for educating myself on various skills that I want to learn such as cooking. However, I do spend a lot of time on YouTube watching videos about WW2 and clips of breaking bad. These apps use my data to increase the amount of time I spend on them which is not something that I plan when I am going through the day. The negative aspect of modern social media, computers, and algorithms is that we can use them anytime of the day we would like, practically anywhere. I am probably a big source of data collecting because I take my phone with me everywhere I go. Apps that track my location like google maps, snapchat, and uber eats know where I live and work because I use their services. I feel like this is the most harmful aspect of data collecting because it can be used in harmful ways. My location could be leaked to a third party which can lead to targeted ads and unwanted restrictions on my access to technology. "
16,A,"Data, artificial intelligence, and computing affect my everyday life. On campus alone, my computer is required for classes, AI is becoming a part of multiple Syllabuses for classes I’m in, and data is stored in my SMU ID. It scans me into the buildings I’m allowed into, into my room, pays for the food I eat on campus and even helps me get my mail. Meanwhile, every ad I see is the result of some algorithms and an amalgamation of data that I have put into my devices. My feed on all social media is a compilation of that as well. I use Uber and or a maps app to get anywhere I am not familiar with, and that too is all transactions of data and algorithms. Really any time I pay for something with a card or apple pay. 

I really liked the analogy used today, “garbage in means garbage out.” People need to be accountable for the data they're putting into the world because that is what they’re getting out of it. We need to be aware that unless we search for data outside of ourselves we will only ever be exposed to variations of what we already know. At least, through our devices. That is both wonderful and dangerous. I was once told that the internet is like a chainsaw, a star in horror as well as just a tool. The important thing is that we attribute the bias and nature of the tool to the person who wields it; not to the tool itself. Certain rules and safety precautions must be acknowledged before use, it cannot be left with your children to play with unless they understand its use and abilities, etc. So yes, we have been told to fear it our whole lives but in truth, technology can only do what it's told. It is a middleman or tool in a person’s agenda. I can’t speak for the future, but I can say that any turn of events in technology would still be attributed to human invention. Not from a natural evolution of the technology itself. "
17,A,"The use of data is everywhere as soon as you open up the internet. From education to social media to navigation, data is collected on where you want to go, what you are doing, and when you are doing it. When I think of data in our every day life, I think of social media which is really dangerous as we spend so much time and expose so much of our lives to it such as our preferences, our opinions, and our personal lives. We can also be a source of data by what we look up on the internet such as if we are interested in buying something, going on a trip, or researching something. This all allows us to give data to be collected. It usually escapes my mind or concern when I am on the internet but we are always being tracked and always giving information to some machine that is just making a profile. This allows us to be targeted in advertising and the posts that we see on social media. The intersection of data science and artificial intelligence I think should be approached with caution. There is a lot of good that can come out of data collection and tracking such as environmental solutions and human safety but there is also a lot that can be dangerous such as artificial intelligence learning so much about our lives. The fact that massive amounts of data can be sold for very little is dangerous in itself as anyone can obtain this information and use it in an unethical manner. "
18,A,"Before this class data science meant nothing to me. I didn't really know much about it or have any clue what it was but I figured maybe it had something to do with analyzing statistics. I am sure in this class I will gain a better understanding and learn what it really means and how it is applied to everyday life. I think right now that the intersection of data, artificial intelligence and computing effect everybody's lives without them knowing. Whenever we use our phones or computers we do not realize it but technology is listening to us and keeping track of what we say and what we find interest in. We see this on social media when we get ads and are confused how they correlate with the conversations we were just having with other people. It seems like people are starting to become aware of this though because on tiktok there will be videos of people purposefully talking into their spouses phone or friends phone so that specific things come up. Also on tiktok we see that our searched up videos or liked videos create this algorithm for ourselves and put us on certain ""sides"" of tiktok because of that. There is even an active AI on snapchat now that can answer any question you have at any moment and knows your location. These AI's are becoming more and more relevant in our lives and are starting to become well known. Another AI type of thing that we see a lot today is chat gpt where it can do basically any command for you by just typing in your request. We even learned in class today that there is a super computer that owns all of our data from the last 6 years. It is truly crazy how we have our lives be totally invaded and have no idea. "
19,A,"The intersection of data, artificial intelligence, and computing affects my everyday life, even if I may not be aware of it. This affects me whether I am on social media, using a navigation app, or doing online shopping, and I am constantly generating data that can be used for algorithms. My data is collected when I search for products online, and my data about my search history and preferences are then analyzed by artificial intelligence algorithms. The results are based on this data and used to personalize my profile as I receive suggestions on similar products that I might be interested in. Similarly, my social media newsfeed is personalized by algorithms, showing me content that is most relevant to my interests. 

For example, when I use Google Maps to route to my destination, I rely on the navigation system to predict traffic and the best route to reach my destination in the least amount of time. Such apps rely heavily on constantly collecting data to adjust their prediction based on the number of phones on the road and their speed. In addition, after I make a purchase online from a specific website, the recommendations that I see pop up on my browser are from that same website. This is because of recommendation algorithms. Through analyzing my purchase history and the websites I frequent the most, these algorithms suggest products and websites that appeal to me. 
"
20,A,"The intersection of data, artificial intelligence, and computing has become an integral part of my life, especially in the past few years as a student. All data and statistics is digital now, both collected and viewed through digital means. Most of us today, myself included, are daily users of social media. Our feeds display the type of content we want by seeing our past data of posts we have liked and saved in order to display to us an adequate feed of content we wish to see that we continue to like that reinforces this data. AI or artificial intelligence is a term that has been familiar to me for years, but it is a term I hear almost daily this year now, as opposed to previous years when I only thought of the terminator when someone mentioned artificial intelligence. It should come as no surprise as a college student AI has become something I rely on, admittedly I used chatgpt for some assistance on this assignment, as I just came home from a movie at 1 am, and was having difficulty writing about this topic I am unfamiliar with. But I still use artificial intelligence outside chatgpt, I had to use Siri to map me to the movie theatre from my friends concert. Siri had to compute the map of my city to show me the best route to get to the theatre, including seeing which way had the least amount of traffic. In terms of computing, I could not type any of this without a functional laptop. My laptop would be worth as much as a brick if it could not compute and function in various ways. I use my laptop for school, shows, music, so much I don't even realize that it is a machine that has to process every input I tell it to show me what I want. Technology is truly an integral part of my life, and I still do not fully realize it."
21,A,"As an avid user of social media, data science plays into how content is filtered and shows up on sites in 'suggested for you' categories. There are algorithms at work that determine what TikToks, Tweets, Instagram posts, etc. are shown to individual users based on their previous engagement with the website's content and their browsing history on other social media sites. Factors such as location, gender, and age are also taken into account when determining which videos, photos, and pieces of text appear on a user's timeline or 'For You' page. I am a content creator, so I have to be mindful of this data in regard to my posting schedules and the content I post--if people are more active on an app at a certain time of day or day of the week, then it is in my best interest to pay attention to that data and post accordingly. I am also given data by the applications about the basic demographic breakdown of my audience--what percentage are male vs female, the the general age range of my audience, what countries the majority of my audience is from, etc. Taking this data into account makes it easier to target my content and gear it towards demographics that are already engaging with the types of things I post. Hashtags and trending topics also play a significant role in determining if my content is successful (and capable of generating more revenue via the Creator Fund). "
22,A,"The use of artificial intelligence, computing, and data has a extreme effect on our everyday lives. The costumized algorithms we see on social media and any targeted advertisement are pulled from constant data that is being analyzed that is tailored to our preferences and experiences. Every click we make is brought into a stream of analyzed data that will continue to provide recommendations based on our clicks. Further, we ourselves are sources of data. This goes into our simple day to day interactions such as purchasing something with a credit card, make an online search, or even use a GPS to navigate us to our destination. All of these small interactions provide data points that is used to for AI models that help to improve their accuracy. All of these interactions can both have positive and negative consequences. This raises concerns about our privacy and personal information however can overall help and benefit the population from gathering all this data. This stretches from transportation to statistics to healthcare. Our society relies on where we choose to invest our time when it comes to technology. In this generation, it controls most of our lives. The intersection of these fields fundamentally changes the way we interact with each other and technology and will continue to shape our lives. A couple examples that appear in my everyday life are TikTok and Instagram. All of my likes and interests are based on my searches and previous likes. Therefore, the only content I am seeing is geared toward my preferences and interests. I am an artist and have many interests in fashion, thus, the majority of the content I see in my feeds are focused on art and clothing. Almost everything we do and see is based on everything we interact with which is why data, artificial intelligence, and computing controls a large portion of our lives. "
23,A,"The intersection of data, artificial intelligence, and computing has dramatically impacted my everyday life. From the moment I wake up to the time I go to bed, I am generating data that is being collected and analyzed by various algorithms. For example, my smartwatch collects data on my physical activity, heart rate, and sleep patterns, which is then used to recommend exercise routines and track my overall health. Similarly, the various apps on my phone track my location, search history, and social media interactions to provide personalized recommendations for restaurants, news articles, and social events. Algorithms play a significant role in altering the way I do things. One example is online shopping, where product recommendations and targeted advertisements are tailored to my browsing and purchase history. This personalized approach to shopping can sometimes be helpful, but it can also create a filter bubble that limits my exposure to new products and ideas. Additionally, I have noticed that algorithms have changed the way I consume news, with social media platforms using data to create personalized news feeds that prioritize content based on my interests. This can be convenient, but it can also create an echo chamber that reinforces my existing beliefs and limits my exposure to opposing viewpoints. YouTube shorts is a media platform I am less than happy to use. It constantly brings me into contact with politicized content, and when I disagree, It offers the option to ""not see this content."" This collects data used to train and personal my feed. While it can be beneficial, it is important to be aware of how algorithms can shape our perspectives and limit our experiences. As we continue to generate more data and rely on artificial intelligence and computing to make decisions, it is crucial to prioritize transparency and accountability to ensure that these technologies are being used ethically and for the benefit of society as a whole."
24,A,"Data, artificial intelligence, and computing affect our modern lives daily and differently on a personal level and intersect in a tri-fold relationship. . For starters, data is information that has been translated into a type of form that is efficient for movement or processing, for me, using data could be inputting my shoe size into a store website which will generate results that serve me best. Artificial intelligence is the development of computer systems that can perform human like tasks such as visual perception, speech recognition, etc., personally I use this when I unlock my iPhone with Face ID. Computing, is the use or operation of computers, which affects me on a daily level because for the past couple of years, a day has not gone by where I did not use a computer to do, watch, or search something. All of these variables affect one another, and in turn, affect me. I can be source of a data because my computer records my search history, until I actively go to settings and clear it when I feel overwhelmed by its amount. My search history, as far as I know, has my data recorded including my favorite websites which has been able to generate ads that cater to me, like clothing stores or recipe websites I might be interested in. Algorithms also alter the way I do things; I can especially see this when it comes to Tik Tok. I’ve noticed many times that the amount I interact or spend on someone’s page greatly affects my “For You” page, which is designed to show videos that fit what I am interested in. This algorithm is responsible for the information I learn about current events, my state of mood when I see a stray dog video, and even recent changes in fashion and purchases."
